SMILES,IZ
O=C(/C=C/c1ccco1)c1cc(Cl)c[nH]1,17
O=C(c1ccncc1)N(/N=C/c1c[nH]nc1-c1ccc(Cl)cc1)C(=O)c1ccc(F)cc1,17
Clc1cc(Cl)c(Cl)c(/C=N/Nc2nc(-c3cccnc3)cs2)c1,11
CSc1ccc(C2CC(c3ccc(Cl)cc3Cl)=NN2c2nc(-c3ccc([N+](=O)[O-])cc3)cs2)cc1,16
COc1ccc(C2=NN(C(=O)COc3ccc(C)cc3)C(O)(c3cc(F)c(Cl)cc3Cl)C2)cc1,10
O=C1CCN(C(=O)c2cc(-c3ccc(Cl)cc3)n(-c3ccc(F)cc3)n2)CC1,18
NC(CCC(=O)n1c(-c2ccc(O)cc2)nc2ccccc2c1=O)C(=O)O,13
Cn1cc(CCC(=O)NCc2c[nH]c3ccc(Cl)cc23)c2cc(Cl)ccc21,10
COc1ccc2[nH]cc(CCNc3nc(Nc4ccc(C#N)cc4)nc(Oc4cc(=O)n(C)c5ccccc45)n3)c2c1,9
O=C(NN1C(=O)c2ccccc2C1=O)c1ccc(-n2c(-c3ccccc3)nc3c(Br)cc(Br)cc3c2=O)cc1,11
Cc1cc(=O)[nH]c(/C(=N/Nc2ccc(Cl)cc2)C(=O)c2ccc(Cl)cc2)n1,0
OCC1CCC(c2ccc3c(c2)CCC3)=NO1,13.66
Cc1ccc2[nH]c(-c3ccccc3)c(C3C=C(c4ccccc4)Oc4[nH]nc(N)c43)c2c1,9
O=[N+]([O-])c1ccc(C2=NN=C3C(Cc4ccccc4)=Nc4ccccc4N3C2)cc1,14
Cc1c(-c2nnc(-c3ccccc3)o2)sc2ncnc(N3CCCCC3)c12,13
CC(CNC12CC3CC(CC(C3)C1)C2)C(=O)c1ccccc1,15
Cn1c(=O)cc(Oc2nc(NCCCl)nc(Nc3ccc(C#N)cc3)n2)c2ccccc21,7
O=C(c1cccnc1Nc1nc2c([N+](=O)[O-])cccc2s1)N1CCNC(Cl)C1Cl,9
COc1ccccc1NS(=O)(=O)c1ccc(NC(=O)c2cn(CCO)c3c(cc(Cl)c4ncccc43)c2=O)cc1,5
c1ccc(-c2cn3nc(Cc4noc5ccccc45)sc3n2)cc1,9
CCOC(=O)C1C(=O)C=C(c2ccccc2)CC1c1ccccc1,0
N=C(N)c1ccc(-c2ccc(-c3ccco3)o2)cc1,10
N#Cc1c(-c2ccc(Cl)cc2)csc1N,5
O=C(CCc1c[nH]c2ccc(Cl)cc12)NCc1c[nH]c2ccc(OC(F)(F)F)cc12,16
O=C1CC(CBr)N1OS(=O)(=O)c1cccs1,0
CN1C(N2CCN(Cc3ccc([N+](=O)[O-])o3)CC2)=NS(=O)(=O)c2ccccc21,17
Cc1cccc2cc3c(=O)[nH]c(=S)[nH]c3nc12,12
CCOC(=O)c1sc(NC(=O)c2cc(OC)c(OC)c(OC)c2)nc1C,13
N#Cc1ccc(Nc2nc(Oc3ncnc4ccccc34)nc(N3CCN(c4cccc(Cl)c4Cl)CC3)n2)cc1C(F)(F)F,24
CNc1nc(Nc2ccc(C#N)cc2)nc(Oc2cc(=O)n(C)c3ccccc23)n1,14
CC(C)C1=C(O)C(=O)C2=C(C=CC3(O)C(C)(C)CCC[C@]23C)C1=O,7
FC(F)(F)c1cc(N/N=C/c2cocc2Br)c2cccc(C(F)(F)F)c2n1,10
O=C(Cn1cc(CC(O)c2ccc(S(=O)(=O)c3ccccc3)cc2)nn1)c1ccccc1,20
O=C1O[C@@H](CNS(=O)(=O)c2ccc(C(F)(F)F)cc2)CN1c1ccc(N2CCNCC2)c(F)c1,16
COc1ccc(F)cc1-c1cccc(-c2nn(CCOS(=O)(=O)c3ccc(F)c(Cl)c3)c(=O)o2)c1,18
O=C(CSc1nnc(Cn2cnc3ccccc32)o1)Nc1nc2ccccc2s1,12
Cc1nnc2c(Cc3ccccc3)nc3ccccc3n12,11
O=C(NO)n1c(/C=C/c2ccccc2)nc2sc3c(c2c1=O)CCCC3,14
N#Cc1ccc(Nc2nc(Nc3cc[nH]n3)nc(Nc3cc[nH]n3)n2)cn1,14
